"No.","Time","Source","Destination","Protocol","Length","Info"
"20354","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20355","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20356","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20357","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20358","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20359","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20360","491.734957","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20361","491.735010","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20362","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20363","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20364","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20365","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20366","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20367","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20368","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20369","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20370","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20371","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20372","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20373","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20374","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20375","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20376","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20377","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20378","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20379","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20380","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20381","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20382","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20383","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20384","491.735018","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20385","491.735061","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20386","491.735110","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20387","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20388","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20389","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20390","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20391","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20392","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20393","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20394","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20395","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20396","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20397","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20398","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20399","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20400","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20401","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20402","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20403","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20404","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20405","491.735125","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20406","491.735218","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20407","491.735283","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20408","491.735335","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20409","491.735905","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20410","491.735905","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20411","491.735905","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20412","491.735905","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
